cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,paid
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT61K2uCPd,Semngat terus bg tim jangan bosen MengEdukasi kita kita ini,1 hari yang lalu,@OkeYGamingg,UCTHNbMfGx41MJ6FXOXdmMWg,36,,https://yt3.ggpht.com/zJgK0EIyPbJxfIa08S2keNciue6I5tu3YtnUIcpWuSwOyhz-0G31on_AsEoRjUI8mgGEZFqiAg=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.273576,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT6DsIjPoz,❤,1 hari yang lalu,@Lawparnjer,UCuCV62yBaXOQ0gB76UUDP3w,6,,https://yt3.ggpht.com/4LPntVWOu0roa1uh-Y7BNCOH_QxzEa8jXrHPuRsSr66UcTAKBeuEXNq90mLZu49GEcUYLURgwg=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.276495,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT6bdlcyXA,bg kenapa pp hitam,1 hari yang lalu,@rafliyaputra5987,UCYBte8larZRXKTnKAbhwPQQ,20,,https://yt3.ggpht.com/ytc/AIdro_lkvZL6_kz1dOZZNlAfaTAAvzD815r_d0GFkV8C9bR31YRZeGPylgyyE4sM5v8Yxu6Veg=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.278495,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT6hwXAHVm,Mantap,1 hari yang lalu,@maximinioneves7522,UCz_mVZyJfks0owAdoCsrpOQ,4,,https://yt3.ggpht.com/ytc/AIdro_lXmaYsOXvq4zIs-qfCYL7w4t-zMe_Sq2GaTjTrBC_2pLs=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.281533,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT6rHR-rIM,Yooo wassup ketua 🥶,1 hari yang lalu,@iseng2407,UC2deeE9MhuS4M54idHMOfgQ,16,,https://yt3.ggpht.com/ytc/AIdro_n-8kcWEvnlPxwBP25qxtwEZUpkaOva-mAwrUlYP-S-jnUKoQdz5zKg6_d_2zzd3mFjzg=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.28359,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT71O_ItCI,Ya,1 hari yang lalu,@iyyd_fld,UC9LqdIhtmNHfQaCe0V041Nw,9,,https://yt3.ggpht.com/YaeOdxXrZ4M2X8HKzqaUCw1rlHwYgpf9_sBTm50z_9EiN-a2y-cOEqkVL8PtjRpRFfMegPt0vQ=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.288495,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT71p4_SCR,"Insight nya luar biasa ko, ❤",1 hari yang lalu,@Chris1724.,UCHKnd2u-Apa4EZooOwctbMg,7,,https://yt3.ggpht.com/RF0tjIFe-wQnh0cGrzPU_wj7k6SntGSk2Mjo9ahSzihjE94IHy21PtgrH6158z3Jv0SH-Uwfuks=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.291884,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT7lX9Wo3u,waduuuhhh...anda terlalu memunculkan sisi anda yang sebenarnya bro...,1 hari yang lalu,@kingjolips3484,UCPzTDL1e7UbXp23YL9TLNBA,8,,https://yt3.ggpht.com/ytc/AIdro_kH1NMBWRDkArQetHtLDbb11ak0S9TmWOm8dmWRuMazlsI=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.714445,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT7mACqfEc,"Kamu hebat bro,mugi mugi bisa jadi Wali Ghoni.",1 hari yang lalu,@hfgyrtgocegv,UCHhcwXsIpdBtBSlOUEjv_Sw,7,,https://yt3.ggpht.com/ytc/AIdro_lHFyYVjgCkt0fO9GjOFbem6cJKrL5KaQLHJZCKiEcX-NgZ1TatpE_X7zS63kCDg7-2cw=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.719355,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT7q_eZMp9,Jangan berhenti mengedukasi orang Indonesia bro❤,1 hari yang lalu,@suryaramadhan6094,UC2spL7l-ZdvMKQ4kxAtJKcw,11,,https://yt3.ggpht.com/OKycx8rEKhX2jp533qhcrccECi0n3XK-qXglcjJnBNbgJAoChk3ttbWb0eu__g-Y-a552dvpLw=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.722357,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT7uepe489,"Timothy, I'm so proud of you.. kamu jadi lebih baik hari demi hari 😊♥️",1 hari yang lalu,@AnastasiaXavelya,UCEBe2oFO-G0TzCQJhslWCoQ,7,,https://yt3.ggpht.com/YlS5d4ecaKD3obbbyWiuzX-DZD_fvT92aadSBMwncZaGAAD7cy5P9oDMMzqqEWfysBgCgVn8VA=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.725355,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT7zHggJs7,Mantapp... Semoga yg terbaik untuk menuju Indonesia Emas... Mmg beda cara penyampaian dari 2 tahun lalu kesekarang.. Lebih wise dalam menyikapi masalah... 👍👍👍,1 hari yang lalu,@specialserviceMedan,UCxUFJfeoABhG2Isoltelh6w,9,,https://yt3.ggpht.com/ytc/AIdro_ktgJrud2eFXPVWJ-Cf4574ZSWNsnRBfpAJEWZ6lXKJig=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.727352,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT8KSiQvai,Guruku🔥🔥🔥🔥🔥,1 hari yang lalu,@Amamm-y9y,UCSXD-9hqCzmlMDdfinJC0Xg,5,,https://yt3.ggpht.com/PVBcces-BBV5KTmTjtqy_6CVj-0akOB82bfirFUK-mIMoKmq9Eo9eFA2prVsCPPLc5eTxKnKqA=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.729355,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT8Y5lQ8Fi,Siap koh siap koh,1 hari yang lalu,@anantastalk7742,UCSPGZq4qxbD3_NwObGlWMZg,2,,https://yt3.ggpht.com/NNu0zbyFue_xiMvItOYxp5SvbOTvaAkUxOmT06sjdvs5X8UMVtHeR8HUxOUx2djIk9N6PMspKg=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.732356,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT8asK6E0r,Mantap koh mantap koh,1 hari yang lalu,@anantastalk7742,UCSPGZq4qxbD3_NwObGlWMZg,3,,https://yt3.ggpht.com/NNu0zbyFue_xiMvItOYxp5SvbOTvaAkUxOmT06sjdvs5X8UMVtHeR8HUxOUx2djIk9N6PMspKg=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.735353,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT8beaLt80,"Gila, gw baru sadar sekarang, pemikiran lu bener-bener di luar nalar",1 hari yang lalu,@AlipDotPY,UCjlLv7LpAujfhKlSMXz1LwA,7,,https://yt3.ggpht.com/t5RsE_4l7xGJ9VjE3efQ-qT-ISEndzWv0kK8IQC_aT0E_X03d1yOwFB-Qyz1UV3ITLJsaT71i6o=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.742358,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT8ff_NEeJ,🔥🔥🔥,1 hari yang lalu,@AdamFadillahOfficial,UCEZYjNVoz3IoxpAkn96hejg,1,,https://yt3.ggpht.com/TD8s1hMED0DCkTIuTT23suHW08OVQpHf-dw4Fe0h7mX-xQTwhDpQ2qdDoOdqzn3GjuDSdmKMrA=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.744355,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT8gU6bSQ0,"Gila, gw baru sadar sekarang bang, pemikiran lu bener-bener diluar nalar, bener-bener hebat dan superior",1 hari yang lalu,@AlipDotPY,UCjlLv7LpAujfhKlSMXz1LwA,9,,https://yt3.ggpht.com/t5RsE_4l7xGJ9VjE3efQ-qT-ISEndzWv0kK8IQC_aT0E_X03d1yOwFB-Qyz1UV3ITLJsaT71i6o=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.747355,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT91XrVxiU,Mintalah terus kebijakan yang banyak dari Tuhan seperti raja Salomo 😊,1 hari yang lalu,@autokontak8729,UCscF93G3tnNGCO_Pu1fX9fA,3,,https://yt3.ggpht.com/ytc/AIdro_m-rIgKULeaVP2FYpubkg2DPp6BW-W0AcyKXLAc2-i4rA=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.749356,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT9GpQffbX,Sama-sama 😂,1 hari yang lalu,@KOMENBEBAS-s8u,UCqAWs4u3PM9G36QjMikjHIA,0,,https://yt3.ggpht.com/ytc/AIdro_n7417ek-18wzJI3ZENBm0JLEsWrCcksbQ7WKdHv1tzFUdXjGULqP2rM3Knc8d3lEC4qw=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.753354,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT9nPJgOc2,Semangat bg,1 hari yang lalu,@nzul673,UCpG2M6L9uef-nuASPP4ZFqw,0,,https://yt3.ggpht.com/MAw22g0RFuY2oUplFna1MIXiJHjN0F5hknTjv0SCjriR2CQtT3jfB_1QWXoKHuVS6kDmwzElXQ=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.756353,
